Date,Team,Player,Pos
10/21/2022,TOR,Fred VanVleet,PG
10/21/2022,TOR,Gary Trent Jr.,SG
10/21/2022,TOR,Scottie Barnes,SF
10/21/2022,TOR,OG Anunoby,SF
10/21/2022,TOR,Pascal Siakam,PF
10/21/2022,BRK,Ben Simmons,PG
10/21/2022,BRK,Kyrie Irving,PG
10/21/2022,BRK,Royce O'Neale,PF
10/21/2022,BRK,Kevin Durant,PF
10/21/2022,BRK,Nicolas Claxton,C
10/21/2022,ORL,Terrence Ross,SG
10/21/2022,ORL,Jalen Suggs,SG
10/21/2022,ORL,Franz Wagner,SF
10/21/2022,ORL,Paolo Banchero,PF
10/21/2022,ORL,Wendell Carter Jr.,C
10/21/2022,ATL,Trae Young,PG
10/21/2022,ATL,Dejounte Murray,SG
10/21/2022,ATL,De'Andre Hunter,SF
10/21/2022,ATL,John Collins,PF
10/21/2022,ATL,Clint Capela,C
10/21/2022,MEM,Ja Morant,PG
10/21/2022,MEM,John Konchar,SG
10/21/2022,MEM,Desmond Bane,SG
10/21/2022,MEM,Santi Aldama,PF
10/21/2022,MEM,Steven Adams,C
10/21/2022,HOU,Kevin Porter Jr.,PG
10/21/2022,HOU,Jalen Green,SG
10/21/2022,HOU,Eric Gordon,SF
10/21/2022,HOU,Jabari Smith Jr.,PF
10/21/2022,HOU,Bruno Fernando,C
10/21/2022,UTA,Mike Conley,PG
10/21/2022,UTA,Jordan Clarkson,SG
10/21/2022,UTA,Jarred Vanderbilt,SF
10/21/2022,UTA,Lauri Markkanen,PF
10/21/2022,UTA,Kelly Olynyk,PF
10/21/2022,MIN,D'Angelo Russell,PG
10/21/2022,MIN,Anthony Edwards,SG
10/21/2022,MIN,Jaden McDaniels,PF
10/21/2022,MIN,Karl-Anthony Towns,PF
10/21/2022,MIN,Rudy Gobert,C
10/21/2022,DEN,Bruce Brown,SG
10/21/2022,DEN,Kentavious Caldwell-Pope,SG
10/21/2022,DEN,Michael Porter Jr.,SF
10/21/2022,DEN,Aaron Gordon,PF
10/21/2022,DEN,Nikola Jokic,C
10/21/2022,GSW,Stephen Curry,PG
10/21/2022,GSW,Klay Thompson,SG
10/21/2022,GSW,Andrew Wiggins,SF
10/21/2022,GSW,Draymond Green,PF
10/21/2022,GSW,Kevon Looney,C
10/21/2022,PHO,Chris Paul,PG
10/21/2022,PHO,Devin Booker,SG
10/21/2022,PHO,Mikal Bridges,SF
10/21/2022,PHO,Cameron Johnson,PF
10/21/2022,PHO,Deandre Ayton,C
10/21/2022,POR,Damian Lillard,PG
10/21/2022,POR,Anfernee Simons,SG
10/21/2022,POR,Josh Hart,SF
10/21/2022,POR,Jerami Grant,PF
10/21/2022,POR,Jusuf Nurkic,C
10/22/2022,SAS,Tre Jones,PG
10/22/2022,SAS,Devin Vassell,SG
10/22/2022,SAS,Keldon Johnson,SF
10/22/2022,SAS,Jeremy Sochan,PF
10/22/2022,SAS,Jakob Poeltl,C
10/22/2022,PHI,Tyrese Maxey,PG
10/22/2022,PHI,James Harden,SG
10/22/2022,PHI,Tobias Harris,SF
10/22/2022,PHI,P.J. Tucker,PF
10/22/2022,PHI,Joel Embiid,C
10/22/2022,DET,Cade Cunningham,PG
10/22/2022,DET,Jaden Ivey,SG
10/22/2022,DET,Bojan Bogdanovic,SF
10/22/2022,DET,Isaiah Stewart,PF
10/22/2022,DET,Saddiq Bey,PF
10/22/2022,IND,Tyrese Haliburton,PG
10/22/2022,IND,Buddy Hield,SF
10/22/2022,IND,Isaiah Jackson,PF
10/22/2022,IND,Aaron Nesmith,PF
10/22/2022,IND,Jalen Smith,PF
10/22/2022,BOS,Marcus Smart,PG
10/22/2022,BOS,Jaylen Brown,SG
10/22/2022,BOS,Derrick White,SG
10/22/2022,BOS,Jayson Tatum,SF
10/22/2022,BOS,Noah Vonleh,C
10/22/2022,ORL,Cole Anthony,PG
10/22/2022,ORL,Terrence Ross,SG
10/22/2022,ORL,Franz Wagner,SF
10/22/2022,ORL,Paolo Banchero,PF
10/22/2022,ORL,Wendell Carter Jr.,C
10/22/2022,CLE,Donovan Mitchell,SG
10/22/2022,CLE,Caris LeVert,SF
10/22/2022,CLE,Isaac Okoro,SF
10/22/2022,CLE,Evan Mobley,PF
10/22/2022,CLE,Jarrett Allen,C
10/22/2022,CHI,Ayo Dosunmu,PG
10/22/2022,CHI,Zach LaVine,SG
10/22/2022,CHI,DeMar DeRozan,SF
10/22/2022,CHI,Patrick Williams,PF
10/22/2022,CHI,Nikola Vucevic,C
10/22/2022,TOR,Fred VanVleet,PG
10/22/2022,TOR,Gary Trent Jr.,SG
10/22/2022,TOR,Scottie Barnes,SF
10/22/2022,TOR,OG Anunoby,SF
10/22/2022,TOR,Pascal Siakam,PF
10/22/2022,MIA,Kyle Lowry,PG
10/22/2022,MIA,Tyler Herro,SG
10/22/2022,MIA,Jimmy Butler III,SF
10/22/2022,MIA,Caleb Martin,PF
10/22/2022,MIA,Bam Adebayo,C
10/22/2022,HOU,Jalen Green,SG
10/22/2022,HOU,Kenyon Martin Jr.,SF
10/22/2022,HOU,Tari Eason,SF
10/22/2022,HOU,Jabari Smith Jr.,PF
10/22/2022,HOU,Usman Garuba,PF
10/22/2022,MIL,Jrue Holiday,PG
10/22/2022,MIL,Jevon Carter,SG
10/22/2022,MIL,Grayson Allen,SF
10/22/2022,MIL,Giannis Antetokounmpo,PF
10/22/2022,MIL,Brook Lopez,C
10/22/2022,MEM,Ja Morant,PG
10/22/2022,MEM,Desmond Bane,SG
10/22/2022,MEM,John Konchar,SG
10/22/2022,MEM,Santi Aldama,PF
10/22/2022,MEM,Steven Adams,C
10/22/2022,DAL,Luka Doncic,PG
10/22/2022,DAL,Spencer Dinwiddie,PG
10/22/2022,DAL,Reggie Bullock,SF
10/22/2022,DAL,Dorian Finney-Smith,PF
10/22/2022,DAL,JaVale McGee,C
10/22/2022,OKC,Shai Gilgeous-Alexander,PG
10/22/2022,OKC,Josh Giddey,SG
10/22/2022,OKC,Luguentz Dort,SF
10/22/2022,OKC,Aleksej Pokusevski,PF
10/22/2022,OKC,Jeremiah Robinson-Earl,C
10/22/2022,DEN,Jamal Murray,PG
10/22/2022,DEN,Kentavious Caldwell-Pope,SG
10/22/2022,DEN,Michael Porter Jr.,SF
10/22/2022,DEN,Aaron Gordon,PF
10/22/2022,DEN,Nikola Jokic,C
10/22/2022,LAC,Reggie Jackson,PG
10/22/2022,LAC,Norman Powell,SG
10/22/2022,LAC,Paul George,SF
10/22/2022,LAC,Marcus Morris Sr.,PF
10/22/2022,LAC,Ivica Zubac,C
10/22/2022,SAC,De'Aaron Fox,PG
10/22/2022,SAC,Kevin Huerter,SG
10/22/2022,SAC,Harrison Barnes,SF
10/22/2022,SAC,KZ Okpala,PF
10/22/2022,SAC,Domantas Sabonis,C
10/23/2022,POR,Damian Lillard,PG
10/23/2022,POR,Anfernee Simons,SG
10/23/2022,POR,Josh Hart,SF
10/23/2022,POR,Jerami Grant,PF
10/23/2022,POR,Jusuf Nurkic,C
10/23/2022,LAL,Patrick Beverley,PG
10/23/2022,LAL,Russell Westbrook,PG
10/23/2022,LAL,LeBron James,SF
10/23/2022,LAL,Lonnie Walker IV,SF
10/23/2022,LAL,Anthony Davis,C
10/23/2022,CHO,Dennis Smith Jr.,PG
10/23/2022,CHO,Gordon Hayward,SF
10/23/2022,CHO,Kelly Oubre Jr.,SF
10/23/2022,CHO,P.J. Washington,PF
10/23/2022,CHO,Mason Plumlee,C
10/23/2022,ATL,Trae Young,PG
10/23/2022,ATL,Dejounte Murray,SG
10/23/2022,ATL,De'Andre Hunter,SF
10/23/2022,ATL,John Collins,PF
10/23/2022,ATL,Clint Capela,C
10/23/2022,UTA,Mike Conley,PG
10/23/2022,UTA,Jordan Clarkson,SG
10/23/2022,UTA,Jarred Vanderbilt,SF
10/23/2022,UTA,Lauri Markkanen,PF
10/23/2022,UTA,Kelly Olynyk,PF
10/23/2022,NOP,CJ McCollum,PG
10/23/2022,NOP,Herbert Jones,SF
10/23/2022,NOP,Brandon Ingram,SF
10/23/2022,NOP,Zion Williamson,PF
10/23/2022,NOP,Jonas Valanciunas,C
10/23/2022,WAS,Monte Morris,PG
10/23/2022,WAS,Bradley Beal,SG
10/23/2022,WAS,Deni Avdija,SF
10/23/2022,WAS,Kyle Kuzma,PF
10/23/2022,WAS,Kristaps Porzingis,C
10/23/2022,CLE,Donovan Mitchell,SG
10/23/2022,CLE,Caris LeVert,SF
10/23/2022,CLE,Isaac Okoro,SF
10/23/2022,CLE,Evan Mobley,PF
10/23/2022,CLE,Jarrett Allen,C
10/23/2022,MIN,D'Angelo Russell,PG
10/23/2022,MIN,Anthony Edwards,SG
10/23/2022,MIN,Karl-Anthony Towns,PF
10/23/2022,MIN,Jaden McDaniels,PF
10/23/2022,MIN,Rudy Gobert,C
10/23/2022,OKC,Tre Mann,PG
10/23/2022,OKC,Josh Giddey,SG
10/23/2022,OKC,Luguentz Dort,SF
10/23/2022,OKC,Kenrich Williams,PF
10/23/2022,OKC,Jeremiah Robinson-Earl,C
10/23/2022,SAC,De'Aaron Fox,PG
10/23/2022,SAC,Kevin Huerter,SG
10/23/2022,SAC,Harrison Barnes,SF
10/23/2022,SAC,KZ Okpala,PF
10/23/2022,SAC,Domantas Sabonis,C
10/23/2022,GSW,Stephen Curry,PG
10/23/2022,GSW,Klay Thompson,SG
10/23/2022,GSW,Andrew Wiggins,SF
10/23/2022,GSW,Draymond Green,PF
10/23/2022,GSW,Kevon Looney,C
10/23/2022,PHO,Chris Paul,PG
10/23/2022,PHO,Devin Booker,SG
10/23/2022,PHO,Mikal Bridges,SF
10/23/2022,PHO,Cameron Johnson,PF
10/23/2022,PHO,Deandre Ayton,C
10/23/2022,LAC,Reggie Jackson,PG
10/23/2022,LAC,Norman Powell,SG
10/23/2022,LAC,Paul George,SF
10/23/2022,LAC,Marcus Morris Sr.,PF
10/23/2022,LAC,Ivica Zubac,C
10/24/2022,IND,Tyrese Haliburton,PG
10/24/2022,IND,Buddy Hield,SF
10/24/2022,IND,Aaron Nesmith,PF
10/24/2022,IND,Isaiah Jackson,PF
10/24/2022,IND,Jalen Smith,PF
10/24/2022,PHI,Tyrese Maxey,PG
10/24/2022,PHI,James Harden,SG
10/24/2022,PHI,Tobias Harris,SF
10/24/2022,PHI,P.J. Tucker,PF
10/24/2022,PHI,Joel Embiid,C
10/24/2022,TOR,Fred VanVleet,PG
10/24/2022,TOR,Gary Trent Jr.,SG
10/24/2022,TOR,OG Anunoby,SF
10/24/2022,TOR,Pascal Siakam,PF
10/24/2022,TOR,Christian Koloko,C
10/24/2022,MIA,Kyle Lowry,PG
10/24/2022,MIA,Max Strus,SG
10/24/2022,MIA,Tyler Herro,SG
10/24/2022,MIA,Jimmy Butler III,SF
10/24/2022,MIA,Bam Adebayo,C
10/24/2022,ORL,Cole Anthony,PG
10/24/2022,ORL,Terrence Ross,SG
10/24/2022,ORL,Franz Wagner,SF
10/24/2022,ORL,Paolo Banchero,PF
10/24/2022,ORL,Wendell Carter Jr.,C
10/24/2022,NYK,Jalen Brunson,PG
10/24/2022,NYK,Evan Fournier,SG
10/24/2022,NYK,RJ Barrett,SG
10/24/2022,NYK,Julius Randle,PF
10/24/2022,NYK,Mitchell Robinson,C
10/24/2022,BRK,Kyrie Irving,PG
10/24/2022,BRK,Ben Simmons,PG
10/24/2022,BRK,Kevin Durant,PF
10/24/2022,BRK,Royce O'Neale,PF
10/24/2022,BRK,Nicolas Claxton,C
10/24/2022,MEM,Ja Morant,PG
10/24/2022,MEM,Desmond Bane,SG
10/24/2022,MEM,Dillon Brooks,SF
10/24/2022,MEM,Santi Aldama,PF
10/24/2022,MEM,Steven Adams,C
10/24/2022,BOS,Marcus Smart,PG
10/24/2022,BOS,Derrick White,SG
10/24/2022,BOS,Jaylen Brown,SG
10/24/2022,BOS,Jayson Tatum,SF
10/24/2022,BOS,Al Horford,C
10/24/2022,CHI,Ayo Dosunmu,PG
10/24/2022,CHI,Zach LaVine,SG
10/24/2022,CHI,DeMar DeRozan,SF
10/24/2022,CHI,Patrick Williams,PF
10/24/2022,CHI,Nikola Vucevic,C
10/24/2022,UTA,Mike Conley,PG
10/24/2022,UTA,Jordan Clarkson,SG
10/24/2022,UTA,Jarred Vanderbilt,SF
10/24/2022,UTA,Lauri Markkanen,PF
10/24/2022,UTA,Kelly Olynyk,PF
10/24/2022,HOU,Kevin Porter Jr.,PG
10/24/2022,HOU,Jalen Green,SG
10/24/2022,HOU,Eric Gordon,SF
10/24/2022,HOU,Kenyon Martin Jr.,SF
10/24/2022,HOU,Jabari Smith Jr.,PF
10/24/2022,SAS,Tre Jones,PG
10/24/2022,SAS,Devin Vassell,SG
10/24/2022,SAS,Keldon Johnson,SF
10/24/2022,SAS,Jeremy Sochan,PF
10/24/2022,SAS,Jakob Poeltl,C
10/24/2022,MIN,D'Angelo Russell,PG
10/24/2022,MIN,Anthony Edwards,SG
10/24/2022,MIN,Jaden McDaniels,PF
10/24/2022,MIN,Karl-Anthony Towns,PF
10/24/2022,MIN,Rudy Gobert,C
10/24/2022,DEN,Jamal Murray,PG
10/24/2022,DEN,Kentavious Caldwell-Pope,SG
10/24/2022,DEN,Michael Porter Jr.,SF
10/24/2022,DEN,Aaron Gordon,PF
10/24/2022,DEN,Nikola Jokic,C
10/24/2022,POR,Damian Lillard,PG
10/24/2022,POR,Anfernee Simons,SG
10/24/2022,POR,Josh Hart,SF
10/24/2022,POR,Jerami Grant,PF
10/24/2022,POR,Jusuf Nurkic,C
10/25/2022,DET,Cade Cunningham,PG
10/25/2022,DET,Jaden Ivey,SG
10/25/2022,DET,Bojan Bogdanovic,SF
10/25/2022,DET,Saddiq Bey,PF
10/25/2022,DET,Isaiah Stewart,PF
10/25/2022,WAS,Monte Morris,PG
10/25/2022,WAS,Bradley Beal,SG
10/25/2022,WAS,Deni Avdija,SF
10/25/2022,WAS,Kyle Kuzma,PF
10/25/2022,WAS,Kristaps Porzingis,C
10/25/2022,DAL,Spencer Dinwiddie,PG
10/25/2022,DAL,Luka Doncic,PG
10/25/2022,DAL,Reggie Bullock,SF
10/25/2022,DAL,Dorian Finney-Smith,PF
10/25/2022,DAL,JaVale McGee,C
10/25/2022,NOP,Jose Alvarado,PG
10/25/2022,NOP,CJ McCollum,PG
10/25/2022,NOP,Trey Murphy III,SF
10/25/2022,NOP,Naji Marshall,SF
10/25/2022,NOP,Jonas Valanciunas,C
10/25/2022,LAC,Terance Mann,PG
10/25/2022,LAC,Reggie Jackson,PG
10/25/2022,LAC,Norman Powell,SG
10/25/2022,LAC,Nicolas Batum,PF
10/25/2022,LAC,Ivica Zubac,C
10/25/2022,OKC,Tre Mann,PG
10/25/2022,OKC,Shai Gilgeous-Alexander,PG
10/25/2022,OKC,Aaron Wiggins,SG
10/25/2022,OKC,Luguentz Dort,SF
10/25/2022,OKC,Jeremiah Robinson-Earl,C
10/25/2022,GSW,Stephen Curry,PG
10/25/2022,GSW,Klay Thompson,SG
10/25/2022,GSW,Andrew Wiggins,SF
10/25/2022,GSW,Draymond Green,PF
10/25/2022,GSW,Kevon Looney,C
10/25/2022,PHO,Chris Paul,PG
10/25/2022,PHO,Devin Booker,SG
10/25/2022,PHO,Mikal Bridges,SF
10/25/2022,PHO,Cameron Johnson,PF
10/25/2022,PHO,Deandre Ayton,C
10/26/2022,ATL,Trae Young,PG
10/26/2022,ATL,Dejounte Murray,SG
10/26/2022,ATL,De'Andre Hunter,SF
10/26/2022,ATL,John Collins,PF
10/26/2022,ATL,Clint Capela,C
10/26/2022,DET,Cory Joseph,PG
10/26/2022,DET,Cade Cunningham,PG
10/26/2022,DET,Bojan Bogdanovic,SF
10/26/2022,DET,Isaiah Stewart,PF
10/26/2022,DET,Saddiq Bey,PF
10/26/2022,ORL,Cole Anthony,PG
10/26/2022,ORL,Terrence Ross,SG
10/26/2022,ORL,Franz Wagner,SF
10/26/2022,ORL,Paolo Banchero,PF
10/26/2022,ORL,Wendell Carter Jr.,C
10/26/2022,CLE,Donovan Mitchell,SG
10/26/2022,CLE,Caris LeVert,SF
10/26/2022,CLE,Evan Mobley,PF
10/26/2022,CLE,Dean Wade,PF
10/26/2022,CLE,Jarrett Allen,C
10/26/2022,BRK,Ben Simmons,PG
10/26/2022,BRK,Kyrie Irving,PG
10/26/2022,BRK,Kevin Durant,PF
10/26/2022,BRK,Royce O'Neale,PF
10/26/2022,BRK,Nicolas Claxton,C
10/26/2022,MIL,Jrue Holiday,PG
10/26/2022,MIL,Jevon Carter,SG
10/26/2022,MIL,Grayson Allen,SF
10/26/2022,MIL,Giannis Antetokounmpo,PF
10/26/2022,MIL,Brook Lopez,C
10/26/2022,PHI,Tyrese Maxey,PG
10/26/2022,PHI,James Harden,SG
10/26/2022,PHI,Tobias Harris,SF
10/26/2022,PHI,P.J. Tucker,PF
10/26/2022,PHI,Joel Embiid,C
10/26/2022,TOR,Fred VanVleet,PG
10/26/2022,TOR,Gary Trent Jr.,SG
10/26/2022,TOR,OG Anunoby,SF
10/26/2022,TOR,Scottie Barnes,SF
10/26/2022,TOR,Pascal Siakam,PF
10/26/2022,CHO,Dennis Smith Jr.,PG
10/26/2022,CHO,Gordon Hayward,SF
10/26/2022,CHO,Kelly Oubre Jr.,SF
10/26/2022,CHO,P.J. Washington,PF
10/26/2022,CHO,Mason Plumlee,C
10/26/2022,NYK,Jalen Brunson,PG
10/26/2022,NYK,RJ Barrett,SG
10/26/2022,NYK,Evan Fournier,SG
10/26/2022,NYK,Julius Randle,PF
10/26/2022,NYK,Mitchell Robinson,C
10/26/2022,IND,Tyrese Haliburton,PG
10/26/2022,IND,Buddy Hield,SF
10/26/2022,IND,Aaron Nesmith,PF
10/26/2022,IND,Jalen Smith,PF
10/26/2022,IND,Myles Turner,C
10/26/2022,CHI,Ayo Dosunmu,PG
10/26/2022,CHI,Zach LaVine,SG
10/26/2022,CHI,DeMar DeRozan,SF
10/26/2022,CHI,Patrick Williams,PF
10/26/2022,CHI,Nikola Vucevic,C
10/26/2022,SAS,Tre Jones,PG
10/26/2022,SAS,Josh Richardson,SG
10/26/2022,SAS,Keldon Johnson,SF
10/26/2022,SAS,Jeremy Sochan,PF
10/26/2022,SAS,Jakob Poeltl,C
10/26/2022,MIN,D'Angelo Russell,PG
