game_id,Date,Team,Team_type,Opp,Opp_type,Player,Pos,Active,MP,FG,FGA,FG%,3PM,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DD,TD,Fpts
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Kevin Durant,SF,1,16.92,2,3,0.667,0,1,0.0,2,3,0.667,0,2,2,0,0,0,2,1,6,2.5,-6,0,0,3.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Alperen Sengun,C,1,20.2,6,11,0.545,3,5,0.6,5,5,1.0,1,1,2,2,0,0,1,2,20,15.3,1,0,0,14.5
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Amen Thompson,SF,1,18.37,4,6,0.667,0,1,0.0,0,0,0.0,2,2,4,1,0,1,3,2,8,5.0,-7,0,0,8.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Reed Sheppard,PG,1,10.03,1,5,0.2,0,2,0.0,0,0,0.0,1,0,1,4,0,0,0,0,2,2.4,-1,0,0,6.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Tari Eason,PF,1,8.92,0,4,0.0,0,3,0.0,0,0,0.0,0,2,2,0,0,0,2,0,0,-4.2,-5,0,0,0.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Josh Okogie,SG,1,9.75,0,2,0.0,0,2,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,-0.8,-4,0,0,0.5
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Clint Capela,C,1,3.82,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,1,0,2,1.0,0,0,0,0.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Jabari Smith Jr.,PF,1,17.78,3,6,0.5,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,1,6,3.6,-4,0,0,5.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Steven Adams,C,1,14.25,1,2,0.5,0,0,0.0,0,0,0.0,3,6,9,0,0,0,1,1,2,3.5,-4,0,0,9.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Jae'Sean Tate,SF,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Aaron Holiday,PG,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Jeff Green,PF,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Dorian Finney-Smith,PF,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Shai Gilgeous-Alexander,PG,1,19.48,7,12,0.583,0,3,0.0,4,4,1.0,0,4,4,3,1,0,0,1,18,16.3,7,0,0,18.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Ajay Mitchell,SG,1,5.18,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,4,3.0,-2,0,0,3.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Isaiah Hartenstein,C,1,14.43,2,2,1.0,0,0,0.0,2,2,1.0,2,0,2,1,0,0,0,1,6,7.1,11,0,0,6.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Jaylin Williams,PF,1,1.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Cason Wallace,SG,1,17.97,4,8,0.5,2,6,0.333,1,2,0.5,0,2,2,2,4,0,1,1,11,11.2,9,0,0,17.5
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Ousmane Dieng,C,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Chet Holmgren,PF,1,16.7,2,5,0.4,0,2,0.0,0,0,0.0,0,2,2,2,0,0,1,3,4,1.1,0,0,0,5.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Aaron Wiggins,SG,1,12.67,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,1,5,2.9,4,0,0,5.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Alex Caruso,SG,1,14.77,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,1,2,0,0,2,5,5.9,-7,0,0,9.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Luguentz Dort,SF,1,17.52,0,5,0.0,0,4,0.0,0,0,0.0,1,1,2,2,0,0,1,2,0,-2.9,8,0,0,3.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Chris Youngblood,,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,JD Davison,,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_HOU_OKC,10/21/2025,OKC,Home,HOU,Away,Brooks Barnhizer,,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_HOU_OKC,10/21/2025,HOU,Away,OKC,Home,Kevon Harris,,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Brandin Podziemski,SG,1,17.08,0,2,0.0,0,2,0.0,0,0,0.0,0,5,5,1,1,0,0,1,0,1.4,15,0,0,8.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Buddy Hield,SG,1,13.02,4,8,0.5,4,8,0.5,0,0,0.0,0,1,1,0,0,0,0,0,12,8.3,0,0,0,9.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Quinten Post,PF,1,4.17,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,0.2,5,0,0,2.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Jimmy Butler,SF,1,17.18,4,8,0.5,0,1,0.0,6,6,1.0,1,2,3,2,0,0,0,2,14,11.9,21,0,0,12.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Jonathan Kuminga,PF,1,17.15,5,5,1.0,3,3,1.0,0,0,0.0,1,3,4,1,1,0,0,2,13,14.0,6,0,0,15.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Draymond Green,PF,1,14.22,2,2,1.0,1,1,1.0,0,1,0.0,0,1,1,7,0,2,0,2,5,9.8,25,0,0,15.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Gary Payton II,SG,1,5.02,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,0,4,1.7,-2,0,0,2.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Will Richard,SG,1,6.53,2,2,1.0,1,1,1.0,0,0,0.0,1,0,1,0,0,0,0,1,5,4.7,-12,0,0,4.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Stephen Curry,PG,1,15.85,2,4,0.5,1,3,0.333,4,4,1.0,0,1,1,3,0,1,1,2,9,8.3,3,0,0,10.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Gui Santos,PF,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Al Horford,C,1,9.78,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,1,0,0,2,2,2,-2.5,-16,0,0,0.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Trayce Jackson-Davis,C,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Rui Hachimura,PF,1,18.47,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,2,0,0,0,1,3,2.9,-8,0,0,6.0
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Jake LaRavia,PF,1,6.55,2,4,0.5,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,0,5,4.0,-1,0,0,5.0
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Jarred Vanderbilt,PF,1,4.88,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,-1.8,-1,0,0,1.0
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Deandre Ayton,C,1,17.15,3,5,0.6,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,6,3.0,-6,0,0,3.0
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Dalton Knecht,SF,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Marcus Smart,SG,1,9.9,1,2,0.5,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,3.0,3,0,0,2.0
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Austin Reaves,SG,1,19.42,4,7,0.571,1,2,0.5,5,7,0.714,0,2,2,5,2,0,2,2,14,13.2,-10,0,0,16.5
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Jaxson Hayes,C,1,6.85,1,2,0.5,0,0,0.0,0,0,0.0,2,2,4,1,0,0,0,1,2,3.3,-3,0,0,6.0
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Luka Doncic,PG,1,22.03,10,14,0.714,0,4,0.0,1,3,0.333,0,5,5,5,1,0,1,1,21,19.0,-7,0,0,21.5
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Bronny James,SG,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Gabe Vincent,PG,1,14.75,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2.2,-12,0,0,0.0
20251021_GSW_LAL,10/21/2025,LAL,Home,GSW,Away,Christian Koloko,,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251021_GSW_LAL,10/21/2025,GSW,Away,LAL,Home,Pat Spencer,,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Nic Claxton,C,1,8.15,2,3,0.667,0,1,0.0,0,0,0.0,1,0,1,1,0,0,1,0,4,3.1,0,0,0,3.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Terance Mann,SG,1,8.67,3,4,0.75,2,2,1.0,3,3,1.0,0,0,0,1,1,0,0,0,11,11.1,5,0,0,9.5
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Noah Clowney,PF,1,10.95,1,4,0.25,1,3,0.333,2,2,1.0,1,2,3,2,0,0,1,1,5,3.9,5,0,0,7.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Tyrese Martin,SG,1,16.5,2,7,0.286,1,4,0.25,0,0,0.0,2,0,2,2,1,0,2,1,5,2.3,5,0,0,7.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Michael Porter Jr.,SF,1,9.3,2,5,0.4,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,4,3.0,-12,0,0,5.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Egor Demin,PG,1,12.83,3,4,0.75,3,4,0.75,0,0,0.0,0,4,4,1,1,0,1,2,9,8.5,4,0,0,12.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Day'Ron Sharpe,C,1,4.9,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,0,1,2,3,2,2,1.6,-7,0,0,7.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Ziaire Williams,SF,1,4.32,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,0,1.3,1,0,0,4.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Jalen Wilson,PF,1,14.7,3,5,0.6,2,4,0.5,0,0,0.0,0,0,0,0,0,0,1,1,8,4.3,10,0,0,4.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Cam Thomas,SG,1,7.95,0,3,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0,0,2,0.6,-13,0,0,2.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Ben Saraf,SG,1,5.65,0,3,0.0,0,3,0.0,2,2,1.0,0,2,2,1,0,0,0,0,2,1.2,2,0,0,4.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Drake Powell,SG,1,7.2,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,4,2,-0.3,-2,0,0,2.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Nolan Traore,PG,1,8.88,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,1,2,0,0,1,3,3.6,-8,0,0,7.0
20251022_BRK_CHO,10/22/2025,BRK,Away,CHO,Home,Danny Wolf,PF,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Miles Bridges,PF,1,14.93,2,5,0.4,2,4,0.5,0,0,0.0,0,2,2,3,1,0,1,0,6,6.0,0,0,0,10.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Kon Knueppel,SF,1,15.35,2,4,0.5,2,3,0.667,0,0,0.0,0,3,3,1,0,0,1,0,6,4.6,5,0,0,7.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Tre Mann,PG,1,11.87,3,6,0.5,2,3,0.667,0,1,0.0,1,1,2,2,0,0,1,1,8,5.6,-1,0,0,8.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Moussa Diabate,C,1,10.88,1,3,0.333,0,0,0.0,3,4,0.75,3,2,5,0,0,0,1,1,5,4.2,0,0,0,6.5
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Sion James,SG,1,7.68,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-0.4,0,0,0,2.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Collin Sexton,SG,1,6.45,2,5,0.4,0,1,0.0,1,1,1.0,0,0,0,1,0,0,1,0,5,2.0,-1,0,0,2.5
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Ryan Kalkbrenner,C,1,13.12,2,3,0.667,0,0,0.0,0,0,0.0,4,4,8,0,0,0,2,2,4,3.9,2,0,0,8.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Liam McNeeley,SF,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Pat Connaughton,SG,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,LaMelo Ball,PG,1,16.32,4,5,0.8,2,3,0.667,0,1,0.0,0,1,1,1,0,0,3,2,10,4.9,2,0,0,5.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Tidjane Salaun,PF,1,9.07,3,4,0.75,1,2,0.5,0,0,0.0,0,4,4,0,0,0,0,0,7,6.6,2,0,0,8.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Mason Plumlee,C,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_BRK_CHO,10/22/2025,CHO,Home,BRK,Away,Brandon Miller,SF,1,14.33,3,9,0.333,0,4,0.0,2,4,0.5,0,0,0,4,0,1,1,2,8,3.8,1,0,0,9.0
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Craig Porter Jr.,PG,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Evan Mobley,PF,1,17.33,2,5,0.4,1,3,0.333,1,2,0.5,0,5,5,1,1,0,0,1,6,5.7,10,0,0,11.5
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Dean Wade,PF,1,15.67,1,1,1.0,1,1,1.0,1,2,0.5,0,1,1,0,1,1,0,2,4,4.5,9,0,0,7.5
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Donovan Mitchell,SG,1,19.93,9,18,0.5,2,8,0.25,3,3,1.0,0,2,2,3,1,1,2,2,23,15.6,-1,0,0,19.5
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Jarrett Allen,C,1,16.07,0,0,0.0,0,0,0.0,2,4,0.5,0,2,2,1,0,0,0,0,2,2.5,6,0,0,4.0
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Jaylon Tyson,SG,1,6.13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,0,-0.1,-3,0,0,2.0
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Tyrese Proctor,PG,1,10.08,2,5,0.4,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,0,5,2.3,-5,0,0,3.0
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Larry Nance Jr.,PF,1,8.58,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,2,2,0.8,-5,0,0,4.0
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Sam Merrill,SG,1,15.23,5,7,0.714,4,6,0.667,2,2,1.0,1,2,3,0,0,0,1,5,16,11.4,12,0,0,12.0
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Lonzo Ball,PG,1,11.0,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,2,0,0,3,0,3,-0.3,12,0,0,1.0
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Thomas Bryant,C,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Karl-Anthony Towns,C,1,17.8,3,7,0.429,1,3,0.333,3,3,1.0,0,5,5,1,0,0,1,2,10,6.7,-3,0,0,10.5
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,OG Anunoby,PF,1,19.3,4,9,0.444,2,5,0.4,2,4,0.5,2,6,8,1,2,0,2,0,12,10.4,-3,0,0,18.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Mikal Bridges,SF,1,16.05,1,3,0.333,0,0,0.0,2,2,1.0,0,2,2,4,1,2,0,2,4,7.3,-13,0,0,14.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Jordan Clarkson,SG,1,7.13,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,-0.1,8,0,0,2.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Landry Shamet,SG,1,8.47,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,2.3,-7,0,0,3.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Jalen Brunson,PG,1,16.4,2,8,0.25,0,4,0.0,7,8,0.875,0,2,2,2,0,0,1,2,11,6.0,-13,0,0,8.5
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Guerschon Yabusele,C,1,2.37,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-5,0,0,0.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Miles McBride,SG,1,15.03,2,4,0.5,2,3,0.667,0,0,0.0,0,0,0,1,1,0,1,4,6,3.1,2,0,0,6.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Tyler Kolek,PG,1,7.6,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,4,2.6,6,0,0,4.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Ariel Hukporti,C,1,7.03,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,3,2,-0.2,-4,0,0,1.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Mohamed Diawara,SF,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Pacome Dadiet,SG,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Nae'Qwan Tomlin,,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_CLE_NYK,10/22/2025,NYK,Home,CLE,Away,Trey Jemison,,1,2.83,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,-3,0,0,1.0
20251022_CLE_NYK,10/22/2025,CLE,Away,NYK,Home,Luke Travers,,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Andrew Wiggins,SF,1,17.2,2,6,0.333,1,5,0.2,4,5,0.8,0,2,2,0,1,0,1,2,9,5.0,-4,0,0,8.0
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Jaime Jaquez Jr.,SF,1,16.2,4,4,1.0,0,0,0.0,0,0,0.0,1,2,3,1,1,0,1,2,8,8.0,-1,0,0,9.0
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Simone Fontecchio,SF,1,10.92,4,6,0.667,1,2,0.5,0,0,0.0,1,1,2,1,0,0,0,0,9,8.1,0,0,0,8.0
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Kel'el Ware,C,1,6.23,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,1,4,3.0,4,0,0,4.0
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Davion Mitchell,PG,1,18.33,3,9,0.333,0,3,0.0,0,0,0.0,1,2,3,8,0,0,1,2,6,6.0,0,0,0,13.0
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Pelle Larsson,SG,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Nikola Jovic,PF,1,7.8,0,2,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,2,1,-1.6,1,0,0,0.5
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Dru Smith,SG,1,5.67,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-1.5,0,0,0,1.0
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Norman Powell,SG,1,19.88,5,10,0.5,2,4,0.5,3,4,0.75,0,4,4,1,1,1,3,3,15,9.0,4,0,0,14.5
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Bam Adebayo,C,1,17.77,2,7,0.286,0,2,0.0,0,0,0.0,3,5,8,1,0,0,1,2,4,2.4,-4,0,0,10.0
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Keshad Johnson,SF,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_MIA_ORL,10/22/2025,MIA,Away,ORL,Home,Terry Rozier,PG,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Franz Wagner,SF,1,17.72,2,8,0.25,0,2,0.0,1,2,0.5,0,2,2,5,0,0,1,3,5,1.7,2,0,0,8.5
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Desmond Bane,SG,1,17.2,3,10,0.3,1,3,0.333,2,2,1.0,0,3,3,2,0,1,2,3,9,3.0,4,0,0,10.0
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Wendell Carter Jr.,C,1,17.2,1,2,0.5,0,0,0.0,5,5,1.0,4,2,6,1,1,1,1,1,7,10.4,4,0,0,13.5
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Tristan Da Silva,SF,1,8.78,3,4,0.75,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,0,8,6.4,-2,0,0,5.0
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Anthony Black,PG,1,10.75,0,3,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,0,-0.1,0,0,0,4.0
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Goga Bitadze,C,1,6.8,1,2,0.5,0,1,0.0,2,2,1.0,1,0,1,1,0,0,0,1,4,4.0,-4,0,0,4.0
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Tyus Jones,PG,1,8.8,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,1,0,0,-1.0,-13,0,0,1.0
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Paolo Banchero,PF,1,17.77,4,9,0.444,1,2,0.5,8,9,0.889,0,6,6,0,0,1,2,1,17,12.0,4,0,0,15.0
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Jonathan Isaac,PF,1,3.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-4,0,0,0.0
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Jalen Suggs,PG,1,11.08,3,3,1.0,0,0,0.0,0,0,0.0,0,3,3,0,2,0,2,1,6,5.6,9,0,0,8.0
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Jett Howard,SF,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
20251022_MIA_ORL,10/22/2025,ORL,Home,MIA,Away,Noah Penda,SF,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
